Dataset,Column,Type,Description,Nullable,NonNullCount,SampleValues,Include
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,RegionID,integer,,False,500,102001; 394913; 753899; 394463; 394514,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,SizeRank,integer,,False,500,0; 1; 2; 3; 4,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,RegionName,string,,False,500,"United States; New York, NY; Los Angeles, CA; Chicago, IL; Dallas, TX",True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,RegionType,string,,False,500,country; msa; msa; msa; msa,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,StateName,string,,True,499,NY; CA; IL; TX; TX,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-03-31,float,,True,498,1421529.0; 73707.0; 21998.0; 38581.0; 24042.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-04-30,float,,True,498,1500195.0; 80345.0; 23784.0; 42253.0; 25876.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-05-31,float,,True,498,1592417.0; 85864.0; 25605.0; 45757.0; 28224.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-06-30,float,,True,498,1660618.0; 90067.0; 27109.0; 47492.0; 30490.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-07-31,float,,True,498,1709146.0; 91881.0; 28811.0; 48984.0; 32408.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-08-31,float,,True,498,1733393.0; 91253.0; 29874.0; 49782.0; 33567.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-09-30,float,,True,498,1723102.0; 90051.0; 30428.0; 49630.0; 33512.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-10-31,float,,True,498,1701375.0; 89340.0; 30606.0; 48916.0; 32589.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-11-30,float,,True,498,1642146.0; 87186.0; 30035.0; 46495.0; 31265.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2018-12-31,float,,True,498,1541995.0; 81944.0; 28252.0; 42304.0; 29283.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-01-31,float,,True,498,1452604.0; 76678.0; 26635.0; 38250.0; 27727.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-02-28,float,,True,498,1405516.0; 74497.0; 25849.0; 36754.0; 27057.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-03-31,float,,True,498,1449966.0; 78192.0; 27132.0; 39387.0; 28543.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-04-30,float,,True,498,1515571.0; 84211.0; 28454.0; 43789.0; 30513.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-05-31,float,,True,498,1604228.0; 91255.0; 30124.0; 48113.0; 32932.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-06-30,float,,True,498,1665082.0; 95966.0; 30980.0; 50794.0; 34785.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-07-31,float,,True,498,1693555.0; 97260.0; 31524.0; 51883.0; 36078.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-08-31,float,,True,498,1688690.0; 95383.0; 31208.0; 52135.0; 36285.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-09-30,float,,True,498,1665421.0; 93359.0; 30618.0; 51829.0; 35472.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-10-31,float,,True,498,1634586.0; 91309.0; 29591.0; 50805.0; 34244.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-11-30,float,,True,498,1560531.0; 87828.0; 27588.0; 47938.0; 32494.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2019-12-31,float,,True,498,1441428.0; 80727.0; 24357.0; 43093.0; 30122.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-01-31,float,,True,498,1336187.0; 74301.0; 21649.0; 38966.0; 28058.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-02-29,float,,True,498,1285461.0; 72005.0; 20624.0; 37740.0; 27264.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-03-31,float,,True,498,1309043.0; 74371.0; 21194.0; 39339.0; 27993.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-04-30,float,,True,498,1299807.0; 72270.0; 20897.0; 39363.0; 28231.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-05-31,float,,True,498,1317974.0; 70474.0; 21255.0; 39734.0; 29129.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-06-30,float,,True,498,1320181.0; 70352.0; 22209.0; 40277.0; 29893.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-07-31,float,,True,498,1345172.0; 77012.0; 24174.0; 42454.0; 31000.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-08-31,float,,True,498,1324973.0; 81547.0; 25175.0; 43099.0; 30306.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-09-30,float,,True,498,1283020.0; 82809.0; 25453.0; 42308.0; 28526.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-10-31,float,,True,497,1228208.0; 80976.0; 25306.0; 40961.0; 26449.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-11-30,float,,True,497,1140490.0; 77001.0; 24128.0; 38027.0; 24033.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2020-12-31,float,,True,497,1028143.0; 70532.0; 21871.0; 33837.0; 21385.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-01-31,float,,True,494,949584.0; 65541.0; 19808.0; 31354.0; 19294.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-02-28,float,,True,498,881641.0; 61868.0; 18781.0; 29581.0; 17682.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-03-31,float,,True,499,882134.0; 61966.0; 19497.0; 30715.0; 17931.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-04-30,float,,False,500,882366.0; 62738.0; 20038.0; 31386.0; 18591.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-05-31,float,,True,498,934197.0; 65965.0; 20588.0; 34006.0; 20030.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-06-30,float,,True,499,978095.0; 68987.0; 20766.0; 36266.0; 21087.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-07-31,float,,True,498,1028626.0; 70650.0; 21361.0; 38328.0; 22496.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-08-31,float,,True,499,1071839.0; 70786.0; 21816.0; 39729.0; 23661.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-09-30,float,,True,499,1084093.0; 69101.0; 21609.0; 39806.0; 23945.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-10-31,float,,True,499,1067941.0; 67467.0; 20711.0; 38727.0; 23080.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-11-30,float,,True,498,997943.0; 63984.0; 18955.0; 35528.0; 21361.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2021-12-31,float,,True,498,887152.0; 57820.0; 16307.0; 30559.0; 19025.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-01-31,float,,False,500,777174.0; 50768.0; 14161.0; 25580.0; 16641.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-02-28,float,,False,500,706996.0; 46430.0; 13376.0; 22343.0; 14913.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-03-31,float,,False,500,727008.0; 48039.0; 14653.0; 22775.0; 14911.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-04-30,float,,False,500,774573.0; 51340.0; 16023.0; 24246.0; 15053.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-05-31,float,,False,500,860427.0; 55710.0; 17635.0; 26775.0; 16146.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-06-30,float,,False,500,947012.0; 58872.0; 19187.0; 28894.0; 17845.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-07-31,float,,False,500,1033432.0; 61312.0; 21015.0; 30846.0; 20485.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-08-31,float,,False,500,1092211.0; 61386.0; 22264.0; 31876.0; 22365.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-09-30,float,,False,500,1101632.0; 60262.0; 22400.0; 31682.0; 22863.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-10-31,float,,False,500,1085232.0; 58241.0; 21803.0; 30798.0; 22445.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-11-30,float,,False,500,1032719.0; 55450.0; 20477.0; 28771.0; 21500.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2022-12-31,float,,False,500,956029.0; 50400.0; 18604.0; 25674.0; 19985.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2023-01-31,float,,False,500,884258.0; 45916.0; 16767.0; 22770.0; 18560.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2023-02-28,float,,False,500,831098.0; 42796.0; 15382.0; 20829.0; 17106.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2023-03-31,float,,False,500,835546.0; 43253.0; 15214.0; 20922.0; 17053.0,True
raw/Metro_invt_fs_uc_sfrcondo_sm_month.csv,2023-04-30,float,,False,500,845933.0; 44197.0; 15103.0; 21214.0; 17959.0,True
