RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2026-02-28,2026-04-30,2027-01-31
394856,8,"Miami, FL",msa,FL,2026-01-31,0.0,0.0,1.6
395148,18,"Tampa, FL",msa,FL,2026-01-31,0.0,0.0,0.6
394943,22,"Orlando, FL",msa,FL,2026-01-31,0.0,-0.1,0.6
394714,40,"Jacksonville, FL",msa,FL,2026-01-31,0.1,0.1,0.6
753906,73,"North Port, FL",msa,FL,2026-01-31,-0.1,-0.2,0.0
394440,78,"Cape Coral, FL",msa,FL,2026-01-31,-0.2,-0.6,-0.5
394766,82,"Lakeland, FL",msa,FL,2026-01-31,0.0,-0.1,0.2
394528,90,"Deltona, FL",msa,FL,2026-01-31,0.1,0.0,0.2
394957,97,"Palm Bay, FL",msa,FL,2026-01-31,0.1,0.2,0.4
394971,111,"Pensacola, FL",msa,FL,2026-01-31,0.2,0.6,1.0
394995,115,"Port St. Lucie, FL",msa,FL,2026-01-31,0.0,-0.2,1.1
395146,145,"Tallahassee, FL",msa,FL,2026-01-31,0.2,0.5,0.4
394901,147,"Naples, FL",msa,FL,2026-01-31,0.0,0.1,1.9
394927,149,"Ocala, FL",msa,FL,2026-01-31,-0.1,-0.3,0.9
394622,155,"Gainesville, FL",msa,FL,2026-01-31,0.1,0.4,0.6
753875,176,"Crestview, FL",msa,FL,2026-01-31,0.0,-0.1,-0.4
395009,237,"Punta Gorda, FL",msa,FL,2026-01-31,-0.3,-0.8,-2.0
394960,242,"Panama City, FL",msa,FL,2026-01-31,0.3,0.9,0.9
395079,274,"Sebastian, FL",msa,FL,2026-01-31,0.0,-0.1,0.5
394685,289,"Homosassa Springs, FL",msa,FL,2026-01-31,0.2,0.4,1.2
395153,329,"The Villages, FL",msa,FL,2026-01-31,0.1,0.0,-0.1
395080,390,"Sebring, FL",msa,FL,2026-01-31,0.2,0.5,2.5
394744,442,"Key West, FL",msa,FL,2026-01-31,0.2,0.9,2.4
394955,479,"Palatka, FL",msa,FL,2026-01-31,0.4,1.0,1.3
394764,489,"Lake City, FL",msa,FL,2026-01-31,0.2,0.8,2.4
394934,701,"Okeechobee, FL",msa,FL,2026-01-31,0.4,1.2,4.3
394476,704,"Clewiston, FL",msa,FL,2026-01-31,0.1,0.5,3.2
394335,782,"Arcadia, FL",msa,FL,2026-01-31,0.0,-0.1,0.7
395214,859,"Wauchula, FL",msa,FL,2026-01-31,0.3,0.9,3.9
