event_name,year,begin_date,end_date,metric,value
Hurricane Charley (August 2004),2004,20040813,20040814,cost_usd_billion_cpi_adjusted,26.72
Hurricane Frances (September 2004),2004,20040903,20040909,cost_usd_billion_cpi_adjusted,16.27
Hurricane Jeanne (September 2004),2004,20040915,20040929,cost_usd_billion_cpi_adjusted,12.44
Hurricane Irma (September 2017),2017,20170906,20170912,cost_usd_billion_cpi_adjusted,64.0
Hurricane Ian (September 2022),2022,20220928,20220930,cost_usd_billion_cpi_adjusted,119.63
Hurricane Nicole (November 2022),2022,20221110,20221111,cost_usd_billion_cpi_adjusted,1.08
Hurricane Milton (October 2024),2024,20241009,20241010,cost_usd_billion_cpi_adjusted,34.25
Hurricane Charley (August 2004),2004,20040813,20040814,deaths,35
Hurricane Frances (September 2004),2004,20040903,20040909,deaths,48
Hurricane Jeanne (September 2004),2004,20040915,20040929,deaths,28
Hurricane Irma (September 2017),2017,20170906,20170912,deaths,97
Hurricane Ian (September 2022),2022,20220928,20220930,deaths,152
Hurricane Nicole (November 2022),2022,20221110,20221111,deaths,5
Hurricane Milton (October 2024),2024,20241009,20241010,deaths,32
Hurricane Charley (August 2004),2004,20040813,20040814,closest_distance_nm,36.4
Hurricane Frances (September 2004),2004,20040903,20040909,closest_distance_nm,24.1
Hurricane Jeanne (September 2004),2004,20040915,20040929,closest_distance_nm,24.4
Hurricane Irma (September 2017),2017,20170906,20170912,closest_distance_nm,43.3
Hurricane Ian (September 2022),2022,20220928,20220930,closest_distance_nm,24.1
Hurricane Nicole (November 2022),2022,20221110,20221111,closest_distance_nm,36.8
Hurricane Milton (October 2024),2024,20241009,20241010,closest_distance_nm,32.5
Hurricane Charley (August 2004),2004,20040813,20040814,max_wind_kt,130
Hurricane Frances (September 2004),2004,20040903,20040909,max_wind_kt,125
Hurricane Jeanne (September 2004),2004,20040915,20040929,max_wind_kt,105
Hurricane Irma (September 2017),2017,20170906,20170912,max_wind_kt,155
Hurricane Ian (September 2022),2022,20220928,20220930,max_wind_kt,140
Hurricane Nicole (November 2022),2022,20221110,20221111,max_wind_kt,65
Hurricane Milton (October 2024),2024,20241009,20241010,max_wind_kt,155
Hurricane Charley (August 2004),2004,20040813,20040814,min_pressure_mb,941
Hurricane Frances (September 2004),2004,20040903,20040909,min_pressure_mb,935
Hurricane Jeanne (September 2004),2004,20040915,20040929,min_pressure_mb,950
Hurricane Irma (September 2017),2017,20170906,20170912,min_pressure_mb,914
Hurricane Ian (September 2022),2022,20220928,20220930,min_pressure_mb,937
Hurricane Nicole (November 2022),2022,20221110,20221111,min_pressure_mb,980
Hurricane Milton (October 2024),2024,20241009,20241010,min_pressure_mb,895
Hurricane Charley (August 2004),2004,20040813,20040814,has_florida_landfall,True
Hurricane Frances (September 2004),2004,20040903,20040909,has_florida_landfall,True
Hurricane Jeanne (September 2004),2004,20040915,20040929,has_florida_landfall,True
Hurricane Irma (September 2017),2017,20170906,20170912,has_florida_landfall,True
Hurricane Ian (September 2022),2022,20220928,20220930,has_florida_landfall,True
Hurricane Nicole (November 2022),2022,20221110,20221111,has_florida_landfall,True
Hurricane Milton (October 2024),2024,20241009,20241010,has_florida_landfall,True
