Metro,Date,Days_on_Market,Income_Needed,Inventory,Market_Temp,New_Construction,Sales_Count,ZHVF_Growth,ZHVI,ZHVI_State,ZORF_Growth,ZORI
"Arcadia, FL",2000-01-31,,,,,,,,62791.61315925428,,,
"Arcadia, FL",2000-02-29,,,,,,,,62969.24630646172,,,
"Arcadia, FL",2000-03-31,,,,,,,,63119.67170006287,,,
"Arcadia, FL",2000-04-30,,,,,,,,63426.78279955272,,,
"Arcadia, FL",2000-05-31,,,,,,,,63741.394336682024,,,
"Arcadia, FL",2000-06-30,,,,,,,,64068.410640124115,,,
"Arcadia, FL",2000-07-31,,,,,,,,64442.76621814179,,,
"Arcadia, FL",2000-08-31,,,,,,,,64886.40801928664,,,
"Arcadia, FL",2000-09-30,,,,,,,,65294.57803233611,,,
"Arcadia, FL",2000-10-31,,,,,,,,65663.40249891348,,,
"Arcadia, FL",2000-11-30,,,,,,,,66009.64878442972,,,
"Arcadia, FL",2000-12-31,,,,,,,,66436.91523096128,,,
"Arcadia, FL",2001-01-31,,,,,,,,66953.34442525072,,,
"Arcadia, FL",2001-02-28,,,,,,,,67464.42817531397,,,
"Arcadia, FL",2001-03-31,,,,,,,,67991.69432261716,,,
"Arcadia, FL",2001-04-30,,,,,,,,68555.57658172798,,,
"Arcadia, FL",2001-05-31,,,,,,,,69106.51184449079,,,
"Arcadia, FL",2001-06-30,,,,,,,,69662.82300207678,,,
"Arcadia, FL",2001-07-31,,,,,,,,70175.02872961889,,,
"Arcadia, FL",2001-08-31,,,,,,,,70752.04553210187,,,
"Arcadia, FL",2001-09-30,,,,,,,,71263.43550610541,,,
"Arcadia, FL",2001-10-31,,,,,,,,71732.11763903443,,,
"Arcadia, FL",2001-11-30,,,,,,,,72110.6657723789,,,
"Arcadia, FL",2001-12-31,,,,,,,,72509.26625891194,,,
"Arcadia, FL",2002-01-31,,,,,,,,72933.82717023787,,,
"Arcadia, FL",2002-02-28,,,,,,,,73516.66970589837,,,
"Arcadia, FL",2002-03-31,,,,,,,,74165.32696244966,,,
"Arcadia, FL",2002-04-30,,,,,,,,74890.18112630637,,,
"Arcadia, FL",2002-05-31,,,,,,,,75571.19244326187,,,
"Arcadia, FL",2002-06-30,,,,,,,,76224.96150234494,,,
"Arcadia, FL",2002-07-31,,,,,,,,76856.8615353371,,,
"Arcadia, FL",2002-08-31,,,,,,,,77473.24107752602,,,
"Arcadia, FL",2002-09-30,,,,,,,,78076.25543319389,,,
"Arcadia, FL",2002-10-31,,,,,,,,78603.54303469793,,,
"Arcadia, FL",2002-11-30,,,,,,,,79066.45590600891,,,
"Arcadia, FL",2002-12-31,,,,,,,,79514.29553754548,,,
"Arcadia, FL",2003-01-31,,,,,,,,80011.69904246977,,,
"Arcadia, FL",2003-02-28,,,,,,,,80575.17828309,,,
"Arcadia, FL",2003-03-31,,,,,,,,81234.16173093127,,,
"Arcadia, FL",2003-04-30,,,,,,,,81902.47838830737,,,
"Arcadia, FL",2003-05-31,,,,,,,,82522.09008470946,,,
"Arcadia, FL",2003-06-30,,,,,,,,83115.12009467896,,,
"Arcadia, FL",2003-07-31,,,,,,,,83711.75371437205,,,
"Arcadia, FL",2003-08-31,,,,,,,,84590.13539281178,,,
"Arcadia, FL",2003-09-30,,,,,,,,85634.705626194,,,
"Arcadia, FL",2003-10-31,,,,,,,,86811.80656201161,,,
"Arcadia, FL",2003-11-30,,,,,,,,87659.34172007324,,,
"Arcadia, FL",2003-12-31,,,,,,,,88382.4188718057,,,
"Arcadia, FL",2004-01-31,,,,,,,,89090.58903589162,,,
"Arcadia, FL",2004-02-29,,,,,,,,90238.87929290616,,,
"Arcadia, FL",2004-03-31,,,,,,,,91623.24193193368,,,
"Arcadia, FL",2004-04-30,,,,,,,,93149.15493012099,,,
"Arcadia, FL",2004-05-31,,,,,,,,94456.85436999158,,,
"Arcadia, FL",2004-06-30,,,,,,,,95809.649584744,,,
"Arcadia, FL",2004-07-31,,,,,,,,97336.48230705445,,,
"Arcadia, FL",2004-08-31,,,,,,,,99306.62495788524,,,
"Arcadia, FL",2004-09-30,,,,,,,,101288.74352565163,,,
"Arcadia, FL",2004-10-31,,,,,,,,103160.59066931502,,,
"Arcadia, FL",2004-11-30,,,,,,,,104893.96140574479,,,
"Arcadia, FL",2004-12-31,,,,,,,,106710.16428810441,,,
"Arcadia, FL",2005-01-31,,,,,,,,108664.92421626479,,,
"Arcadia, FL",2005-02-28,,,,,,,,110385.98141009056,,,
"Arcadia, FL",2005-03-31,,,,,,,,112130.54767902648,,,
"Arcadia, FL",2005-04-30,,,,,,,,114030.37249257985,,,
"Arcadia, FL",2005-05-31,,,,,,,,116368.78904815845,,,
"Arcadia, FL",2005-06-30,,,,,,,,119011.51866974826,,,
"Arcadia, FL",2005-07-31,,,,,,,,121676.09272873844,,,
"Arcadia, FL",2005-08-31,,,,,,,,124845.6652640826,,,
"Arcadia, FL",2005-09-30,,,,,,,,127983.35568011137,,,
"Arcadia, FL",2005-10-31,,,,,,,,131122.27368374987,,,
"Arcadia, FL",2005-11-30,,,,,,,,133504.63898437572,,,
"Arcadia, FL",2005-12-31,,,,,,,,135616.05830260925,,,
"Arcadia, FL",2006-01-31,,,,,,,,137714.53749102537,,,
"Arcadia, FL",2006-02-28,,,,,,,,139517.46974754208,,,
"Arcadia, FL",2006-03-31,,,,,,,,141192.23701782047,,,
"Arcadia, FL",2006-04-30,,,,,,,,142515.6481943763,,,
"Arcadia, FL",2006-05-31,,,,,,,,143919.13641078855,,,
"Arcadia, FL",2006-06-30,,,,,,,,145082.671679682,,,
"Arcadia, FL",2006-07-31,,,,,,,,146021.77106035574,,,
"Arcadia, FL",2006-08-31,,,,,,,,146685.87929713834,,,
"Arcadia, FL",2006-09-30,,,,,,,,147091.1827711483,,,
"Arcadia, FL",2006-10-31,,,,,,,,147303.20653744027,,,
"Arcadia, FL",2006-11-30,,,,,,,,147232.17233827605,,,
"Arcadia, FL",2006-12-31,,,,,,,,147081.41190649543,,,
"Arcadia, FL",2007-01-31,,,,,,,,146833.91771418505,,,
