metric,ZHVI,ZHVI,ZHVI,ZHVI,ZORI,ZORI,ZORI,ZORI,hurricane_count,hurricane_count,hurricane_count,hurricane_count,hurricane_total_cost_billion,hurricane_total_cost_billion,hurricane_total_cost_billion,hurricane_total_cost_billion
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
Metro,,,,,,,,,,,,,,,,
"Arcadia, FL",191280.4,55110.8,108775.4,261237.3,,,,,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Cape Coral, FL",298268.5,73630.5,208198.1,407989.8,1532.8,345.8,1084.3,2020.6,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Clewiston, FL",194418.5,64415.9,102958.1,283064.7,,,,,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Crestview, FL",354817.9,83748.6,239205.2,461989.4,1552.8,332.4,1076.0,1950.5,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Deltona, FL",264768.0,67064.5,163914.7,351002.6,1421.1,289.8,988.7,1799.8,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Gainesville, FL",234166.4,52949.4,156300.1,302978.9,1305.5,246.6,954.2,1661.0,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Homosassa Springs, FL",208853.7,59883.4,122659.3,281771.1,1297.0,279.5,868.9,1671.5,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Jacksonville, FL",277210.0,67711.9,178622.9,363514.1,1375.2,246.6,1026.0,1683.6,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Key West, FL",581919.2,31938.4,492257.3,604985.3,2873.9,527.9,2130.6,3432.5,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Lake City, FL",194670.5,53669.3,120611.3,265175.5,1380.3,64.7,1274.9,1502.8,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Lakeland, FL",236237.9,63774.4,142687.9,317880.3,1475.3,293.1,1049.1,1848.8,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Miami, FL",362465.2,91755.4,235990.1,492147.7,2063.2,453.6,1547.1,2650.8,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Naples, FL",455694.2,114944.7,337735.2,604985.3,2059.7,497.9,1433.7,2754.1,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"North Port, FL",347209.0,87384.0,238391.7,476544.7,1712.1,360.0,1254.8,2159.6,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Ocala, FL",211413.7,59778.5,128234.9,286042.1,1245.0,273.4,868.9,1602.6,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Okeechobee, FL",197246.9,61367.2,110488.9,282020.1,1850.0,,1850.0,1850.0,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Orlando, FL",303450.6,75433.6,192805.9,401144.8,1580.0,290.2,1154.5,1950.1,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Palatka, FL",157427.6,45961.7,89189.3,213851.1,1314.9,59.6,1217.6,1418.2,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Palm Bay, FL",271768.2,68551.0,167181.6,357536.5,1495.4,311.5,1026.4,1890.5,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Panama City, FL",274267.3,69266.7,181106.0,363824.4,1413.0,281.3,964.7,1734.4,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Pensacola, FL",235575.2,59562.2,150353.6,308152.6,1328.5,289.4,923.2,1704.7,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Port St. Lucie, FL",297261.2,81223.9,180693.1,401110.0,1766.3,410.9,1204.4,2331.3,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Punta Gorda, FL",272593.8,71010.1,176253.5,384651.5,1496.0,327.0,1065.3,1954.1,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Sebastian, FL",292150.0,74050.5,183543.9,386674.5,1599.0,397.2,1036.1,2164.3,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Sebring, FL",171502.0,49910.9,100388.1,238339.8,1232.3,250.1,872.3,1562.9,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Tallahassee, FL",219942.9,43844.4,157641.4,277602.3,1140.8,217.7,868.9,1490.0,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Tampa, FL",283280.7,76790.4,172412.1,381941.7,1569.9,346.0,1102.7,2034.7,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"The Villages, FL",323652.1,64216.1,245940.6,415562.6,1611.9,85.6,1373.3,1742.1,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
"Wauchula, FL",156954.9,46889.2,92437.2,226541.5,,,,,0.5,0.8,0.0,2.0,21.4,38.6,0.0,120.7
